A10 A14 A15 A17 A19 A02 A20 A21 A22 A26 A27 A28 A29 A03 A30 A04 A05 A06 A07 A09 B01 B10 B11 B12 B13 B14 B15 B02 B03 B04 B05 B06 B07 B08 B09 C10 C12 C14 C15 C16 C17 C18 C19 C02 C03 C04 C06 C07 C08 C09 D10 D12 D13 D14 D17 D02 D20 D26 D27 D29 D31 D35 D04 D06 D09 E10 E12 E14 E16 E17 E22 E24 E03 E30 E31 E35 E40 E05 E08 E09 F10 F11 F13 F15 F16 F21 F22 F23 F26 F28 F29 F03 F32 F34 F36
ASV_145 6 11 39 12 2 12 0 24 26 3 4 12 11 45 14 7 5 7 0 11 23 55 25 0 24 19 41 0 66 35 5 10 7 0 2 0 4 11 1 8 7 19 23 53 0 29 11 5 12 19 65 55 1 7 37 82 15 26 29 53 4 54 35 30 2 41 64 49 30 50 34 47 46 39 36 35 58 52 39 45 45 29 67 46 26 26 27 23 53 53 57 17 34 28 59
ASV_146 32 40 36 54 0 42 17 34 0 0 45 37 0 47 0 0 0 43 32 0 0 33 0 0 0 53 0 0 0 35 0 45 25 0 0 0 0 27 0 0 52 36 53 75 0 0 30 0 0 0 0 95 142 58 0 53 57 50 0 117 20 35 0 0 0 68 0 14 0 46 0 77 22 23 0 51 64 38 39 57 0 0 18 28 45 16 0 16 50 54 38 0 0 45 58
ASV_148 28 29 35 45 23 20 31 46 35 14 0 29 0 0 28 35 0 25 21 27 0 22 45 11 19 23 35 0 25 14 0 74 50 30 25 24 0 0 0 0 0 31 14 0 0 105 0 0 33 0 73 30 42 0 14 91 0 61 0 30 27 23 0 31 0 30 0 25 0 43 31 58 37 39 19 24 26 31 33 19 34 40 0 48 17 25 21 30 0 21 19 18 34 20 33
ASV_149 40 138 162 34 60 36 0 14 0 0 16 23 0 65 0 120 152 31 0 63 158 48 16 45 21 58 41 36 36 29 22 41 76 60 0 8 0 0 0 0 30 0 16 18 13 7 0 0 11 42 21 38 12 25 44 0 0 13 0 8 0 0 31 36 35 0 32 38 15 27 29 0 22 29 14 15 0 0 27 14 29 18 0 19 13 20 0 35 0 24 19 24 13 0 0
ASV_150 0 0 0 0 0 96 0 0 0 101 0 0 149 0 111 0 0 143 0 0 0 0 0 0 124 0 0 0 0 0 0 0 0 111 0 0 0 0 0 0 0 0 77 69 0 0 54 0 0 75 71 80 0 0 0 0 89 0 71 88 89 0 0 94 0 0 11 27 7 0 12 4 25 0 0 14 15 0 27 0 14 23 32 9 6 10 26 11 0 6 29 8 17 0 8
ASV_151 0 94 0 0 0 12 0 6 0 12 0 0 14 9 0 13 0 15 13 18 0 14 0 14 0 0 0 10 0 12 12 0 13 14 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 0 434 0 0 0 0 25 0 0 0 22 290 0 0 0 0 0 0 1665 0 0 0 0 0 0 0 0 0 0 0 0 0 125 0 0 0 0 44 0 0 0 0 0 0 0 0
ASV_153 0 0 33 0 0 34 0 0 0 40 0 0 0 0 0 10 0 18 0 30 55 25 0 40 0 0 50 0 0 27 43 0 0 0 0 0 0 30 0 0 0 44 24 0 18 24 67 0 0 0 0 0 67 300 0 0 44 101 0 210 36 0 0 49 0 0 0 195 0 0 12 0 0 74 0 0 0 0 0 0 0 0 0 505 130 0 0 15 313 0 0 106 0 0 0
ASV_154 22 0 0 32 34 19 0 15 38 43 99 55 29 67 42 41 21 0 27 48 0 10 53 40 148 53 38 0 30 22 69 18 59 26 0 0 0 19 41 0 18 90 57 0 47 38 89 0 0 21 46 18 0 20 0 37 14 23 0 43 13 21 0 0 10 0 0 0 0 15 55 0 15 0 31 39 29 0 0 39 0 23 28 0 25 0 0 18 0 0 22 0 34 0 22
ASV_155 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 9 0 0 0 15 10 0 0 0 13 0 0 0 0 0 0 0 0 76 0 0 37 0 0 0 0 17 17 0 0 16 18 0 35 29 172 41 18 37 15 27 19 27 26 0 21 11 25 20 33 22 15 28 18 38 11 31 9 51 26 19 2 9 9 19 5 21 94 7 29 12 32 3 18 21 13 32 32
ASV_156 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 11 27 0 0 5 19 48 0 0 17 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 25 4 0 0 0 292 0 473 0 0 0 90 39 0 0 73 0 0 29 0 0 0 351 0 12 0 375 0 0 0 0 0 601 0 0 0 0 0 0 0 0 0 2 0 610 0 0 0 0 0
ASV_157 0 14 35 0 33 31 20 16 0 20 0 18 13 14 47 13 27 44 15 22 21 35 24 29 34 44 31 0 28 25 37 13 17 20 0 0 33 13 0 13 19 26 10 34 27 9 27 0 19 0 72 21 0 0 64 27 38 32 15 43 47 0 51 8 8 43 29 21 25 32 33 42 31 32 27 43 49 39 29 0 37 0 24 31 17 27 43 37 30 34 32 26 27 17 27
ASV_158 0 0 0 119 42 0 0 0 173 0 0 0 0 0 109 0 0 0 0 0 0 55 0 92 0 0 126 0 76 65 0 115 79 0 0 0 39 0 0 0 76 77 0 82 0 0 93 0 0 0 0 0 0 55 0 0 0 0 154 46 0 0 0 0 0 5 0 3 10 4 25 59 0 26 5 0 0 1 0 5 3 0 0 12 6 6 0 3 7 1 21 75 10 0 0
ASV_159 0 31 0 20 0 31 0 0 0 0 46 0 0 27 0 0 0 0 0 0 0 0 20 0 0 48 0 0 24 62 23 27 0 0 0 45 0 0 40 0 0 0 25 24 39 0 0 0 0 0 28 0 0 0 0 41 63 46 0 38 0 0 0 49 80 0 207 27 0 0 6 22 17 11 9 0 7 26 0 0 6 6 0 0 0 13 9 0 4 0 24 5 40 12 6
ASV_160 0 0 36 0 0 0 0 8 0 0 0 10 0 0 48 25 0 7 0 66 0 0 102 0 37 0 29 0 0 19 14 0 0 28 0 0 9 0 0 54 17 0 27 0 5 65 0 0 0 34 0 126 0 46 0 0 0 0 15 34 0 85 0 242 170 0 0 54 34 0 39 28 0 0 0 8 307 0 0 7 24 0 0 18 0 206 0 6 153 5 0 4 0 0 205
ASV_161 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 146 46 0 0 0 0 0 0 0 314 0 0 0 0 0 0 0 0 97 0 98 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 550 0 0 221 163 0 0 0 0 0 0 0 3077 0 0 0 0 0 121 0 0 0 21 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 1
ASV_162 0 197 219 0 168 92 0 169 0 142 0 247 0 0 0 103 0 0 0 150 0 0 306 0 345 0 260 0 0 0 96 0 0 0 0 0 138 0 0 107 226 0 0 225 0 0 0 0 0 0 0 0 0 76 0 0 0 0 0 0 45 0 0 0 0 0 0 0 0 0 0 0 264 0 0 17 0 0 0 0 0 0 0 0 0 39 0 0 0 0 4 0 0 1 0
ASV_163 0 0 0 0 0 0 37 68 0 0 86 105 0 53 57 0 0 34 64 57 0 0 89 0 0 87 107 0 274 0 88 33 33 0 0 0 50 0 0 0 0 86 0 33 45 275 0 0 0 55 88 0 0 24 0 42 0 0 27 41 0 0 0 25 0 48 17 0 21 54 17 26 0 9 0 0 0 0 58 0 0 27 0 21 0 7 0 7 8 0 0 8 7 10 7
ASV_164 212 0 0 0 63 0 0 74 0 60 0 128 0 0 99 0 0 0 136 0 76 52 0 76 0 94 79 0 157 0 0 0 0 62 0 0 74 0 0 27 0 0 0 0 0 0 32 37 0 0 0 0 0 0 0 0 0 0 0 82 92 0 44 105 0 0 0 23 67 6 0 62 0 36 0 0 0 0 0 8 84 182 0 7 0 0 0 0 0 0 25 0 34 3 0
ASV_165 0 0 0 74 0 0 0 0 78 0 0 0 0 0 0 0 0 0 0 0 0 0 223 0 0 63 162 0 0 0 195 0 325 0 0 0 0 0 0 0 190 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 191 0 45 0 125 0 0 0 0 0 0 2 47 1 0 1 0 1 6 0 0 4 1 0 0 0 0 1 0 151 0 0 302 1 1 0 0 0 1
ASV_166 0 0 53 45 45 0 35 37 45 0 101 68 56 141 0 59 58 0 37 68 41 0 23 50 43 0 55 62 41 41 53 40 0 0 80 0 0 0 46 28 39 0 0 115 0 0 0 0 0 38 62 0 0 0 0 31 0 0 93 32 0 32 0 30 0 32 36 40 0 34 0 0 22 42 0 18 28 33 20 32 0 0 0 0 0 47 0 16 0 0 0 0 0 0 0
ASV_167 166 0 0 0 0 0 276 0 0 0 337 0 730 0 0 0 0 0 85 0 0 0 0 0 0 461 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 406 0 0 0 473 0 30 0 0 0 32 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 71 0 44 127 0 0 0 0 0 0 0 0 0 0 0 0
ASV_168 0 150 0 0 80 0 0 69 0 0 0 27 0 0 471 145 139 0 0 114 158 0 159 246 581 409 168 0 0 168 0 297 98 33 0 0 159 0 0 0 0 0 0 0 0 0 450 0 0 0 0 0 0 0 0 0 0 0 0 57 0 0 0 0 0 0 0 0 5 0 0 7 0 1 0 0 0 0 0 1 0 0 0 3 0 0 0 0 0 1 0 92 14 0 4
ASV_169 3 3 11 121 57 5 1 30 373 18 25 20 12 5 10 37 14 6 1 24 24 35 1 8 58 29 27 20 4 2 1 1 5 3 1 0 6 95 28 35 7 17 0 24 2 139 17 1 6 1 12 123 0 22 4 9 34 18 2 21 32 5 43 0 7 13 0 11 47 38 25 23 0 17 17 9 14 29 28 7 26 17 25 20 26 15 11 31 14 25 38 16 18 37 12
ASV_171 4 7 21 49 19 59 1 10 103 8 19 12 3 24 4 40 3 21 0 38 231 14 45 17 3 15 16 63 8 61 22 45 51 43 0 0 55 8 204 10 33 3 0 18 4 15 6 0 0 15 0 61 11 6 0 44 42 11 15 106 7 0 0 5 6 19 9 23 23 11 37 26 0 25 17 22 0 21 0 11 57 0 15 0 55 23 0 14 10 19 20 21 18 0 18
ASV_173 0 55 0 0 43 0 0 11 0 0 0 32 0 20 29 50 0 0 0 24 0 0 69 54 0 63 104 0 42 26 16 54 52 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 61 0 67 22 170 0 0 86 53 0 163 0 0 21 58 0 0 0 56 8 190 0 105 0 0 0 0 0 6 0 5 126 0 182 4 0 0 57 46 25 21 0 0 5 10 0
ASV_174 0 0 75 81 0 0 0 0 57 0 0 0 0 0 0 0 0 0 0 0 0 68 93 0 46 0 0 0 0 0 0 0 0 117 0 73 0 37 39 0 61 0 0 0 341 0 0 0 0 52 0 0 0 98 0 0 0 0 103 0 80 0 0 85 0 153 0 0 0 87 0 35 0 0 0 0 0 0 0 0 0 0 0 0 0 123 0 0 0 0 0 287 0 0 0
ASV_176 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 75 0 0 0 0 0 0 0 0 33 0 37 0 0 0 0 0 40 0 0 20 0 0 0 60 0 86 98 33 76 97 62 123 90 50 56 53 95 27 23 21 24 13 28 13 12 0 0 36 22 21 27 29 24 0 0 38 0 0 145 19 24 19 13 5 26 33 18
ASV_178 61 0 0 0 0 77 0 0 0 70 0 0 0 114 157 71 103 86 84 0 0 0 122 36 0 0 0 0 0 0 0 0 0 98 42 0 0 0 0 0 0 0 0 20 0 0 67 0 0 209 0 0 0 0 0 0 0 0 0 0 0 0 243 0 0 479 0 0 0 5 10 0 0 0 0 34 0 0 0 0 0 0 0 36 0 0 0 0 0 1 3 0 15 185 2
ASV_179 0 54 0 28 0 72 31 0 0 24 0 23 0 52 22 0 40 25 0 0 0 0 53 0 0 38 0 35 26 44 39 28 0 68 73 64 49 38 0 57 27 86 28 47 30 24 37 33 0 79 79 0 50 0 0 27 0 0 0 46 0 0 0 0 0 0 74 0 0 0 0 0 0 0 0 0 37 0 47 0 0 0 0 19 0 0 0 0 0 0 0 0 0 112 24
ASV_180 20 10 20 46 26 37 24 22 42 0 34 0 0 29 24 33 0 21 39 9 21 40 19 14 29 0 17 14 29 38 38 13 0 30 0 0 18 0 0 0 13 13 29 10 6 14 9 0 6 0 12 42 0 25 29 53 24 63 7 30 0 31 55 0 8 44 57 0 0 0 42 0 39 49 0 39 0 0 80 36 0 47 0 45 40 0 0 31 35 0 0 0 31 46 53
ASV_183 1 20 6 10 26 14 1 65 20 23 12 54 27 18 30 62 7 6 1 13 10 10 2 65 51 113 1 7 1 33 3 8 34 13 17 0 8 2 1 23 21 3 1 2 0 5 1 21 1 59 1 73 1 9 29 27 65 17 3 222 11 9 1 0 4 19 57 14 44 29 68 26 8 30 24 28 26 33 0 24 22 0 30 19 30 17 17 20 25 26 21 29 22 14 10
ASV_184 0 0 0 0 0 0 29 39 0 48 24 35 33 86 0 0 0 89 26 0 37 0 0 35 37 0 0 57 0 0 54 0 21 0 68 40 128 0 66 58 58 43 0 31 0 0 0 0 0 0 0 25 0 0 0 0 0 0 25 15 0 0 63 71 150 0 14 0 0 11 33 0 0 0 11 0 33 0 0 0 0 135 0 33 0 34 41 7 53 31 0 132 0 0 18
ASV_185 17 20 22 9 5 103 27 0 28 8 28 12 0 31 16 31 5 8 29 11 9 33 3 18 33 0 9 19 0 26 39 33 12 4 13 0 45 16 4 28 4 0 0 19 38 9 0 0 2 12 13 24 0 37 34 42 30 6 0 61 20 16 7 55 9 22 30 24 35 28 40 0 28 22 16 27 30 21 37 30 21 29 0 32 28 15 23 28 44 41 25 23 32 25 31
ASV_186 0 50 52 0 105 0 0 92 0 160 0 126 0 81 126 43 0 65 0 0 112 0 117 41 59 15 84 78 47 26 0 0 22 40 0 0 22 19 0 13 51 0 30 0 0 33 126 0 0 105 0 0 0 0 0 0 37 0 45 49 17 0 0 22 0 0 81 12 0 22 15 4 0 0 40 5 0 9 0 16 9 0 0 6 0 16 0 0 7 0 7 0 0 0 6
ASV_187 8 18 12 8 26 74 21 0 18 25 75 0 27 19 10 55 20 5 2 17 25 19 6 0 2 0 6 5 0 36 0 4 11 10 27 0 8 0 16 0 8 6 3 0 0 16 0 0 0 34 0 47 16 6 110 13 7 236 16 46 17 0 0 0 0 36 266 9 32 54 36 37 5 0 0 19 45 72 0 5 25 0 0 31 9 14 9 5 30 36 0 0 0 14 23
ASV_188 141 46 40 6 45 133 144 56 46 126 137 76 145 27 90 82 57 45 203 11 1 24 17 4 30 1 40 1 15 1 6 1 3 58 8 3 14 3 4 5 9 10 1 8 8 2 5 13 1 4 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0
ASV_189 0 0 64 107 0 63 0 0 109 59 0 0 0 0 0 0 0 113 0 0 0 0 0 0 32 54 0 126 47 40 0 55 0 94 33 0 0 0 0 0 64 34 0 158 0 56 58 0 0 0 0 77 0 0 0 0 78 0 62 54 60 0 0 0 0 0 0 0 0 38 43 207 79 8 0 0 0 0 0 0 0 0 109 0 63 0 0 0 0 0 0 0 0 0 0
ASV_190 52 0 23 0 0 49 0 33 0 34 29 51 69 42 0 0 22 0 0 0 29 0 0 37 0 0 53 44 82 54 0 21 0 58 0 0 0 0 0 51 79 102 0 22 0 20 0 0 0 0 39 29 0 23 51 31 19 0 0 25 28 19 62 0 0 0 0 0 0 0 0 31 0 105 68 45 169 0 0 20 28 30 22 0 36 0 0 0 0 0 0 0 0 0 0
ASV_191 12 3 9 0 2 7 13 10 7 9 23 8 9 3 15 4 6 4 7 3 4 25 0 0 24 0 4 3 0 12 22 4 11 0 6 142 4 11 76 6 84 32 81 84 23 34 28 0 16 17 31 5 34 8 0 8 1 9 86 7 17 51 32 13 29 26 34 27 13 18 22 37 16 12 15 20 35 13 22 32 20 31 40 26 55 13 37 20 32 25 34 30 29 20 27
ASV_192 0 19 90 0 1 0 0 0 0 0 496 0 0 0 22 1 68 0 0 35 0 97 100 35 0 126 30 0 0 0 0 20 0 72 0 0 76 0 0 0 295 296 0 0 0 0 443 0 0 0 0 0 0 53 0 0 0 0 30 0 0 0 0 0 0 19 0 0 1 0 5 2 0 0 2 0 0 0 0 1 0 0 0 1 0 66 0 0 0 0 0 65 3 0 1
ASV_193 3 13 11 2 52 17 54 30 25 6 20 22 11 27 49 13 16 12 1 19 75 23 42 0 11 7 19 20 32 34 8 27 33 10 13 0 2 2 0 23 18 1 1 7 11 2 4 0 1 6 46 15 2 4 98 25 4 15 2 1 7 2 42 20 44 18 20 35 28 31 24 25 21 21 25 37 43 36 49 25 35 17 0 19 37 0 18 19 34 27 26 16 19 11 24
ASV_194 0 50 0 0 0 43 0 0 0 0 0 0 36 0 41 0 0 0 0 0 0 0 0 0 0 35 0 0 58 48 0 47 0 0 33 0 0 0 39 0 0 0 0 45 0 0 35 0 0 48 0 52 0 50 75 43 0 0 0 0 0 79 35 72 72 0 0 52 0 46 0 0 41 0 16 0 0 0 40 24 88 100 0 180 0 0 0 0 0 0 0 69 0 0 0
ASV_195 19 20 21 31 0 24 0 0 39 23 27 28 19 29 46 8 0 0 21 11 0 11 0 28 16 35 0 30 0 33 59 51 0 70 14 0 0 24 0 43 50 0 12 0 23 108 22 0 0 21 43 32 0 57 0 40 0 0 36 56 26 0 0 17 24 36 41 18 21 0 0 0 24 31 17 0 29 12 21 20 16 16 17 24 16 0 0 28 32 27 18 17 35 20 19
ASV_196 0 37 36 15 33 22 0 9 31 7 7 13 7 5 43 25 63 15 0 21 36 29 15 24 60 18 12 37 47 13 0 8 36 1 36 0 24 4 0 40 35 10 0 5 0 28 26 0 0 0 8 52 0 16 22 118 10 1 12 22 4 10 18 0 42 53 25 34 30 32 21 25 65 25 35 0 0 17 0 0 20 0 15 14 0 21 0 23 42 26 14 35 0 0 21
ASV_197 22 0 24 0 41 39 12 0 0 13 21 33 16 33 0 22 18 0 19 25 0 0 0 0 0 14 0 20 0 0 13 0 0 0 0 0 33 0 27 0 0 0 67 24 0 51 0 0 0 0 0 26 0 35 0 55 41 67 0 0 0 22 15 30 87 0 14 0 30 18 12 8 0 42 0 23 26 0 16 22 0 94 5 24 60 11 0 22 48 40 51 0 23 0 25
ASV_198 0 0 51 41 0 0 0 0 35 0 55 0 0 0 66 50 0 57 0 0 44 0 0 0 0 0 0 0 0 66 0 85 0 0 0 0 0 0 0 0 0 34 0 49 0 41 0 0 0 70 0 83 0 48 54 0 70 62 60 64 0 65 39 0 43 56 0 58 0 0 0 0 0 0 0 42 48 0 73 91 101 0 0 0 0 0 0 0 88 0 0 97 0 0 58
ASV_199 0 51 0 122 0 0 0 0 102 0 0 0 0 74 0 0 0 0 0 0 0 0 0 0 0 108 113 0 0 0 0 0 44 0 0 0 227 0 402 0 0 0 88 244 769 399 219 0 0 0 27 0 0 0 0 0 0 0 0 0 0 0 0 0 31 0 0 0 7 0 0 0 4 0 0 7 0 0 0 0 0 0 0 20 15 0 0 15 0 5 0 0 0 0 20
ASV_201 0 0 0 0 157 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 530 0 0 354 0 0 0 0 0 379 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 117 0 0 0 0 0 0 0 0 0 0 0 70 0 230 0 0 0 0 0 0 1 822 1 0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 1 0 0 17 0 0 0
ASV_202 24 0 0 0 58 0 0 0 0 17 13 0 0 13 0 29 0 0 16 0 13 22 19 11 21 0 0 11 30 8 0 8 10 0 16 0 29 0 24 24 0 106 29 0 0 0 0 71 0 0 0 176 13 14 0 46 14 73 23 0 0 26 11 0 18 0 60 0 0 0 0 0 48 0 0 0 0 0 0 275 0 0 0 0 0 21 0 0 0 0 0 0 29 93 0
ASV_203 91 98 158 106 85 103 103 83 89 102 0 179 239 98 132 0 270 171 75 185 83 0 0 70 50 93 89 247 0 95 0 75 0 88 159 0 0 0 0 0 0 0 0 68 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 13 16 7 0 7 0 0 0 0 0 0 0 6 0 9 0 0 0 0 0 5 0 0 0 0 8 0 0 0
ASV_204 49 37 19 20 10 30 30 0 0 16 23 13 38 25 20 0 27 0 32 16 0 27 36 0 56 0 26 16 24 28 27 20 26 0 38 0 25 42 0 47 0 29 66 31 37 53 23 0 0 59 20 0 0 33 0 0 0 36 0 29 32 0 29 0 40 0 24 0 0 24 0 0 0 0 15 0 0 0 26 35 23 34 25 18 35 0 0 0 0 23 25 31 23 0 23
ASV_205 0 0 0 0 0 17 0 0 0 0 0 0 18 24 0 0 0 0 15 17 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 0 33 0 26 0 0 21 0 59 32 26 0 0 0 0 86 110 0 64 65 65 0 80 84 75 66 77 0 45 0 0 42 115 0 53 47 37 34 0 0 51 63 0 0 30 56 40 37 59 0 0 0 27 0 54 0 0 0 57 37
ASV_206 6 17 15 24 22 25 0 21 28 7 18 19 0 6 29 37 17 0 0 9 5 28 30 14 24 0 31 24 61 0 0 8 21 13 7 0 0 25 12 8 27 74 41 42 20 33 30 0 13 24 19 46 0 12 0 9 29 41 5 46 0 14 10 0 31 22 23 17 0 0 22 16 17 21 14 20 18 16 23 0 26 23 0 25 27 0 17 0 32 21 38 0 19 17 19
ASV_208 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 76 0 0 0 58 99 65 55 55 76 65 0 0 111 0 0 0 0 62 0 0 0 0 0 0 0 0 0 0 0 78 79 0 0 0 51 0 0 89 68 61 113 0 0 53 0 0 0 0 0 12 75 0 0 0 0 0 18 0 21 0 0 0 29 0 9 0 50 22 33 19 0 25 82 0 0 0 31 0 0
ASV_209 113 3 11 2 33 47 30 6 9 1 2 1 1 9 5 6 14 3 81 16 13 13 245 6 1 2 9 22 7 1 17 1 7 10 2 32 20 35 21 3 15 3 0 41 1 153 6 4 23 1 2 75 0 4 14 31 29 38 3 28 40 1 4 0 9 21 0 11 10 21 22 9 0 26 14 35 12 8 6 26 25 1 19 16 51 16 20 15 7 27 29 13 13 26 8
ASV_210 0 22 6 0 12 0 0 0 0 0 0 7 0 0 0 0 0 21 0 13 0 0 0 24 0 38 0 59 17 6 15 0 32 88 0 0 16 0 0 0 21 86 56 0 25 134 5 0 0 0 0 0 215 60 0 0 0 47 0 14 82 0 0 0 0 0 0 0 18 0 0 0 0 25 55 0 0 0 0 185 0 104 0 34 0 0 0 0 122 0 0 3 137 0 49
ASV_212 0 11 2 0 1 5 1 21 0 34 1 19 0 3 3 4 3 3 0 1 21 11 6 11 38 16 53 50 5 8 2 11 8 46 36 0 0 51 0 24 95 25 0 0 0 63 0 0 0 1 56 9 1 7 15 0 31 28 60 11 56 1 0 65 51 5 32 24 7 23 0 64 19 21 19 5 48 17 1 33 67 0 5 0 58 38 11 15 5 39 16 5 35 34 10
ASV_214 45 72 49 0 71 0 64 53 0 44 104 67 0 57 41 29 0 0 59 0 57 0 0 43 71 0 0 0 0 62 0 55 57 0 36 0 50 0 28 0 0 0 0 58 41 0 41 0 0 39 28 82 0 0 0 0 0 0 0 32 0 63 0 0 0 0 0 46 0 0 66 13 0 0 0 65 0 0 0 0 0 35 0 0 0 0 30 0 0 26 11 0 0 20 0
ASV_216 5 39 15 20 22 57 0 30 14 0 28 49 23 0 90 47 10 26 9 39 21 39 47 0 43 31 16 32 0 18 8 17 0 14 19 0 0 114 2 15 12 0 21 20 13 4 30 0 0 60 24 7 5 58 0 30 19 14 0 21 13 0 9 4 0 39 20 21 18 16 18 18 0 17 7 0 17 20 26 0 19 17 0 13 21 10 9 16 0 16 13 14 0 0 18
ASV_217 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 16 0 0 0 77 0 0 0 0 72 119 42 0 78 38 0 23 0 0 42 0 69 0 0 43 0 0 38 336 29 0 0 0 6 4 0 0 12 5 8 0 94 0 419 0 0 0 0 1 39 0 2 0 3 77 0 6 9 2 2 0 0 55
ASV_220 20 17 12 0 15 0 0 17 12 6 0 15 38 13 16 0 34 10 20 13 0 15 33 6 34 16 19 6 23 0 26 9 0 5 0 0 0 23 0 0 11 0 0 15 0 7 0 0 0 6 0 9 133 47 28 48 11 35 42 6 0 15 25 0 0 0 17 20 0 36 55 17 52 36 0 0 125 44 35 0 26 24 25 25 53 0 36 19 29 0 0 21 0 19 42
ASV_222 0 42 0 0 0 0 0 31 0 0 0 0 0 95 46 0 0 0 0 92 0 82 66 42 41 41 80 0 0 0 0 35 50 0 38 0 0 0 0 0 35 52 40 132 70 0 0 0 0 0 0 0 0 103 0 0 0 0 49 153 0 0 0 0 0 0 0 43 0 16 0 104 0 54 20 0 0 36 0 0 21 0 0 0 0 21 0 0 0 47 19 12 0 0 13
ASV_223 14 10 62 17 0 0 0 18 12 0 0 0 55 0 46 63 0 9 0 21 57 0 0 0 0 0 19 15 11 19 60 7 20 20 25 0 0 0 0 21 0 25 0 20 0 38 8 1 7 72 42 33 12 43 29 14 32 7 23 21 8 6 36 7 0 19 50 29 0 0 0 49 21 28 0 53 40 0 28 25 29 36 31 0 9 20 20 15 0 0 0 45 0 11 26
ASV_224 0 97 139 0 149 0 0 45 0 33 0 52 0 0 198 106 0 171 0 122 45 130 102 0 109 0 66 152 0 0 0 0 36 28 0 0 49 0 0 39 113 157 162 0 0 0 101 0 0 0 0 0 0 0 0 0 16 0 18 0 35 0 0 0 0 3 0 5 3 5 0 2 0 6 8 0 0 3 0 0 6 0 0 19 0 2 0 0 33 8 2 4 1 0 6
ASV_227 0 0 0 57 0 0 0 0 0 49 0 0 0 0 0 0 0 0 0 143 0 44 51 0 77 0 50 39 117 0 0 54 0 42 0 0 87 158 0 0 0 0 0 163 0 0 0 0 0 0 0 0 0 0 0 0 61 0 0 0 60 73 44 0 0 0 0 0 7 0 27 135 93 10 0 0 5 0 0 0 18 9 0 8 0 0 0 0 0 58 9 0 0 0 0
ASV_228 0 0 0 0 0 40 0 40 0 0 22 36 33 24 37 29 31 35 21 0 26 0 62 0 0 53 0 35 51 28 25 23 29 78 0 0 0 54 0 0 42 22 0 0 0 0 27 0 0 0 16 0 0 54 19 49 51 0 0 0 0 19 60 0 40 0 0 16 0 59 0 48 44 0 0 24 0 33 25 24 0 31 28 33 0 20 0 0 18 0 0 0 0 67 17
ASV_229 0 0 71 80 0 0 0 48 96 0 63 33 0 0 62 0 62 138 0 0 47 32 0 25 0 100 97 79 0 58 46 83 0 0 0 0 0 45 53 86 33 0 32 92 76 98 76 0 61 0 0 0 0 0 0 0 33 0 0 0 52 0 0 0 0 0 0 0 13 20 0 0 18 0 15 33 0 0 0 0 0 0 0 0 0 0 21 0 0 19 16 0 0 0 0
ASV_230 0 0 0 79 0 24 0 25 142 0 0 33 0 0 0 0 0 0 0 0 0 0 0 0 0 0 27 0 0 35 0 57 0 0 0 0 0 26 0 186 0 0 0 0 39 0 0 0 0 0 0 41 113 0 0 0 0 0 84 131 69 0 0 0 0 8 10 0 0 0 4 1 0 3 17 0 1027 0 0 0 0 0 0 2 0 16 0 0 0 0 0 0 0 0 0
ASV_231 0 0 0 17 0 0 0 0 16 0 0 0 0 0 0 8 0 18 11 0 0 0 0 0 27 0 0 11 0 0 0 0 0 0 0 53 0 0 0 0 0 0 0 0 0 24 0 0 18 11 19 54 53 22 48 104 13 41 38 89 0 0 0 51 23 39 0 20 26 10 0 84 0 22 0 19 32 90 8 17 63 0 0 0 57 0 0 0 19 24 0 0 0 35 55
