A10 A14 A15 A17 A19 A02 A20 A21 A22 A26 A27 A28 A29 A03 A30 A04 A05 A06 A07 A09 B01 B10 B11 B12 B13 B14 B15 B02 B03 B04 B05 B06 B07 B08 B09 C10 C12 C14 C15 C16 C17 C18 C19 C02 C03 C04 C06 C07 C08 C09 D10 D12 D13 D14 D17 D02 D20 D26 D27 D29 D31 D35 D04 D06 D09 E10 E12 E14 E16 E17 E22 E24 E03 E30 E31 E35 E40 E05 E08 E09 F10 F11 F13 F15 F16 F21 F22 F23 F26 F28 F29 F03 F32 F34 F36
ASV_28 105 203 169 0 32 48 0 88 20 87 16 114 63 103 97 334 34 156 133 167 92 196 103 191 158 0 110 143 77 69 72 54 51 75 16 0 52 87 5 0 288 29 9 59 10 49 86 0 242 735 130 36 65 72 0 0 16 0 90 174 68 111 31 30 0 45 197 64 48 54 84 51 35 49 80 25 28 30 0 31 46 89 71 66 0 22 26 0 44 127 61 53 59 39 61
ASV_29 87 48 51 26 44 213 47 39 42 143 29 50 94 145 139 110 96 228 125 89 0 22 157 80 437 30 56 542 0 43 65 46 42 52 49 24 0 0 29 39 35 98 96 60 0 0 25 0 0 51 378 19 31 180 0 76 0 28 46 102 153 35 42 21 0 103 180 92 70 45 139 42 43 95 77 64 0 0 0 43 68 75 68 65 63 47 57 54 53 123 76 60 65 98 97
ASV_30 35 89 284 600 155 227 396 132 396 391 172 132 83 237 80 50 177 343 115 224 85 0 204 294 0 57 0 0 73 69 171 64 82 521 0 132 499 42 49 265 43 393 0 338 231 950 420 134 108 82 74 0 0 0 0 74 0 0 0 0 136 0 0 0 0 0 11 14 11 19 25 0 10 0 11 40 23 0 14 0 8 34 0 15 11 26 10 41 13 24 29 0 0 32 17
ASV_31 105 38 131 88 17 0 0 18 191 12 0 21 121 30 149 3 39 19 156 12 7 55 32 47 55 12 52 262 4 7 20 18 11 133 265 0 21 104 0 168 102 151 81 177 644 144 23 15 0 34 0 339 0 23 33 304 40 34 29 11 199 148 24 0 0 24 394 32 91 34 84 40 130 100 0 76 213 24 20 57 39 112 103 27 43 65 147 23 55 17 60 34 17 52 0
ASV_32 22 113 90 38 25 109 14 134 239 1 206 225 6 35 20 115 57 15 2 63 324 87 69 29 78 1 115 1 49 140 148 48 135 11 57 48 128 14 89 67 78 36 0 61 13 155 45 62 10 1 4 295 19 4 37 109 337 134 6 21 17 20 52 0 96 57 66 64 49 68 46 63 36 51 85 78 142 95 39 90 112 0 33 84 376 69 47 40 61 83 62 49 42 26 42
ASV_33 77 31 21 19 12 71 11 5 33 14 4 3 35 47 16 54 10 27 209 51 5 5 18 12 799 9 39 14 88 63 11 240 16 2 108 0 7 0 48 28 22 30 66 36 667 23 18 5 616 36 30 37 41 18 10 90 35 12 103 147 15 42 71 63 13 69 86 83 40 84 63 78 79 67 43 63 109 51 86 81 49 101 110 60 79 0 54 0 60 77 51 0 92 54 73
ASV_34 294 0 0 0 35 124 0 0 0 46 0 0 0 0 162 42 649 157 333 105 131 212 90 311 86 0 238 139 0 43 75 127 81 0 0 0 243 0 0 271 253 128 0 212 0 479 412 0 0 0 0 42 16 0 149 0 185 0 0 26 117 0 75 128 0 6 0 0 12 0 53 23 0 0 8 25 0 0 0 5 0 567 26 9 452 0 0 0 32 16 0 0 33 57 88
ASV_35 114 63 10 9 18 2 58 47 46 101 103 32 90 272 110 10 11 32 96 21 15 7 2 6 443 24 41 54 2 32 58 22 12 5 1 37 55 139 4 97 69 231 187 337 458 2 163 4 314 117 21 10 331 4 0 21 0 4 102 6 8 315 90 0 168 0 46 24 34 55 38 22 50 31 38 40 37 35 101 91 30 274 158 39 135 45 0 36 48 58 54 68 84 132 59
ASV_36 27 51 6 10 15 88 108 168 16 78 15 128 50 136 27 52 12 28 318 13 69 35 32 75 36 2 51 59 217 5 32 5 15 8 549 254 57 6 6 45 34 14 33 216 6 33 83 3 4 72 66 130 35 42 35 0 49 91 2 62 0 49 237 140 54 93 119 84 55 110 60 94 60 90 44 65 90 70 63 66 0 87 73 81 105 0 88 46 83 88 79 91 73 103 0
ASV_38 0 0 96 0 0 0 82 0 0 0 23 0 0 0 0 0 0 35 0 0 0 0 0 0 0 123 0 57 0 0 0 0 0 0 0 0 0 0 960 0 0 0 0 0 0 1125 0 0 132 0 0 0 0 0 0 0 0 0 85 0 0 114 273 0 234 0 0 0 0 1 0 0 0 0 0 21 0 0 1933 0 0 0 0 1 0 1 0 0 0 0 1 0 1 0 663
